order_number,order_date,product_code,product_line,quantity_ordered,price_each,sales,country,year,month,quarter,product_id
10384,2005-02-23,S10_4757,Classic Cars,34,100.0,4846.7,USA,2005,2,1,5
10395,2005-03-17,S10_4757,Classic Cars,32,100.0,3370.56,France,2005,3,1,5
10400,2005-04-01,S10_4757,Classic Cars,64,100.0,9661.44,USA,2005,4,2,5
10414,2005-05-06,S10_4757,Classic Cars,19,100.0,2764.88,USA,2005,5,2,5
10103,2003-01-29,S10_4962,Classic Cars,42,100.0,5398.26,Norway,2003,1,1,6
10114,2003-04-01,S10_4962,Classic Cars,31,100.0,4305.28,France,2003,4,2,6
10126,2003-05-28,S10_4962,Classic Cars,22,100.0,3347.74,Spain,2003,5,2,6
10140,2003-07-24,S10_4962,Classic Cars,26,100.0,3188.12,USA,2003,7,3,6
10150,2003-09-19,S10_4962,Classic Cars,20,100.0,3191.2,Singapore,2003,9,3,6
10164,2003-10-21,S10_4962,Classic Cars,21,100.0,3536.82,Austria,2003,10,4,6
10175,2003-11-06,S10_4962,Classic Cars,33,100.0,5362.83,UK,2003,11,4,6
10183,2003-11-13,S10_4962,Classic Cars,28,100.0,3433.36,USA,2003,11,4,6
10194,2003-11-25,S10_4962,Classic Cars,26,100.0,4263.74,France,2003,11,4,6
10207,2003-12-09,S10_4962,Classic Cars,31,100.0,4076.19,USA,2003,12,4,6
10217,2004-02-04,S10_4962,Classic Cars,48,100.0,7020.48,Singapore,2004,2,1,6
10229,2004-03-11,S10_4962,Classic Cars,50,100.0,6426.5,USA,2004,3,1,6
10245,2004-05-04,S10_4962,Classic Cars,28,100.0,4591.72,USA,2004,5,2,6
10259,2004-06-15,S10_4962,Classic Cars,26,100.0,4033.38,Singapore,2004,6,2,6
10270,2004-07-19,S10_4962,Classic Cars,32,100.0,4302.08,Australia,2004,7,3,6
10281,2004-08-19,S10_4962,Classic Cars,44,100.0,7020.64,USA,2004,8,3,6
10291,2004-09-08,S10_4962,Classic Cars,30,100.0,3855.9,Sweden,2004,9,3,6
10305,2004-10-13,S10_4962,Classic Cars,38,100.0,6680.78,USA,2004,10,4,6
10313,2004-10-22,S10_4962,Classic Cars,40,100.0,6678.0,Canada,2004,10,4,6
10322,2004-11-04,S10_4962,Classic Cars,46,61.99,2851.54,USA,2004,11,4,6
10334,2004-11-19,S10_4962,Classic Cars,26,100.0,3188.12,Sweden,2004,11,4,6
10347,2004-11-29,S10_4962,Classic Cars,27,100.0,4428.0,Australia,2004,11,4,6
10357,2004-12-10,S10_4962,Classic Cars,43,100.0,5780.92,USA,2004,12,4,6
10370,2005-01-20,S10_4962,Classic Cars,35,65.63,2297.05,Australia,2005,1,1,6
10381,2005-02-17,S10_4962,Classic Cars,37,100.0,6231.54,USA,2005,2,1,6
10391,2005-03-09,S10_4962,Classic Cars,37,46.9,1735.3,Australia,2005,3,1,6
10411,2005-05-01,S10_4962,Classic Cars,27,100.0,4427.73,Canada,2005,5,2,6
10425,2005-05-31,S10_4962,Classic Cars,38,100.0,5894.94,France,2005,5,2,6
10108,2003-03-03,S12_1099,Classic Cars,33,100.0,5265.15,Philippines,2003,3,1,7
10122,2003-05-08,S12_1099,Classic Cars,42,100.0,7599.9,France,2003,5,2,7
10135,2003-07-02,S12_1099,Classic Cars,42,100.0,8008.56,USA,2003,7,3,7
10147,2003-09-05,S12_1099,Classic Cars,48,100.0,9245.76,USA,2003,9,3,7
10159,2003-10-10,S12_1099,Classic Cars,41,100.0,8296.35,USA,2003,10,4,7
10169,2003-11-04,S12_1099,Classic Cars,30,100.0,5019.9,Australia,2003,11,4,7
10181,2003-11-12,S12_1099,Classic Cars,27,100.0,5411.07,Norway,2003,11,4,7
10191,2003-11-20,S12_1099,Classic Cars,21,100.0,3840.9,Germany,2003,11,4,7
10203,2003-12-02,S12_1099,Classic Cars,20,100.0,3930.4,Spain,2003,12,4,7
10211,2004-01-15,S12_1099,Classic Cars,41,100.0,7498.9,France,2004,1,1,7
10225,2004-02-22,S12_1099,Classic Cars,27,100.0,4517.91,Switzerland,2004,2,1,7
10238,2004-04-09,S12_1099,Classic Cars,28,100.0,5774.72,Denmark,2004,4,2,7
10253,2004-06-01,S12_1099,Classic Cars,24,100.0,3922.56,UK,2004,6,2,7
10266,2004-07-06,S12_1099,Classic Cars,44,100.0,9160.36,Italy,2004,7,3,7
10276,2004-08-02,S12_1099,Classic Cars,50,100.0,9631.0,USA,2004,8,3,7
10287,2004-08-30,S12_1099,Classic Cars,21,100.0,3432.24,Switzerland,2004,8,3,7
10300,2003-10-04,S12_1099,Classic Cars,33,100.0,5521.89,Germany,2003,10,4,7
10310,2004-10-16,S12_1099,Classic Cars,33,100.0,6934.62,Germany,2004,10,4,7
10320,2004-11-03,S12_1099,Classic Cars,31,100.0,6876.11,Sweden,2004,11,4,7
10329,2004-11-15,S12_1099,Classic Cars,41,71.47,2930.27,USA,2004,11,4,7
10341,2004-11-24,S12_1099,Classic Cars,45,79.65,3584.25,Austria,2004,11,4,7
10363,2005-01-06,S12_1099,Classic Cars,33,85.39,2817.87,Finland,2005,1,1,7
10375,2005-02-03,S12_1099,Classic Cars,45,76.0,3420.0,France,2005,2,1,7
10389,2005-03-03,S12_1099,Classic Cars,26,99.04,2575.04,Sweden,2005,3,1,7
10419,2005-05-17,S12_1099,Classic Cars,12,100.0,1961.28,Austria,2005,5,2,7
10105,2003-02-11,S12_1108,Classic Cars,41,100.0,8690.36,Denmark,2003,2,1,8
10117,2003-04-16,S12_1108,Classic Cars,33,100.0,6034.38,Singapore,2003,4,2,8
10127,2003-06-03,S12_1108,Classic Cars,46,100.0,11279.2,USA,2003,6,2,8
10142,2003-08-08,S12_1108,Classic Cars,33,100.0,8023.29,USA,2003,8,3,8
10153,2003-09-28,S12_1108,Classic Cars,20,100.0,4904.0,Spain,2003,9,3,8
10165,2003-10-22,S12_1108,Classic Cars,44,100.0,8594.52,Singapore,2003,10,4,8
10176,2003-11-06,S12_1108,Classic Cars,33,100.0,7474.5,Italy,2003,11,4,8
10185,2003-11-14,S12_1108,Classic Cars,21,100.0,3883.74,USA,2003,11,4,8
10196,2003-11-26,S12_1108,Classic Cars,47,100.0,8887.7,USA,2003,11,4,8
10208,2004-01-02,S12_1108,Classic Cars,46,100.0,8602.92,France,2004,1,1,8
10220,2004-02-12,S12_1108,Classic Cars,32,100.0,7181.44,Ireland,2004,2,1,8
10231,2004-03-19,S12_1108,Classic Cars,42,100.0,8378.58,Spain,2004,3,1,8
10247,2004-05-05,S12_1108,Classic Cars,44,100.0,10606.2,Finland,2004,5,2,8
10272,2004-07-20,S12_1108,Classic Cars,35,100.0,5818.4,USA,2004,7,3,8
10282,2004-08-20,S12_1108,Classic Cars,41,100.0,7071.27,USA,2004,8,3,8
10293,2004-09-09,S12_1108,Classic Cars,46,100.0,8411.56,Italy,2004,9,3,8
10306,2004-10-14,S12_1108,Classic Cars,31,100.0,6570.76,UK,2004,10,4,8
10314,2004-10-22,S12_1108,Classic Cars,38,100.0,7975.44,Denmark,2004,10,4,8
10325,2004-11-05,S12_1108,Classic Cars,42,64.0,2688.0,Norway,2004,11,4,8
10336,2004-11-20,S12_1108,Classic Cars,33,57.22,1888.26,France,2004,11,4,8
10348,2004-11-01,S12_1108,Classic Cars,48,52.36,2513.28,Spain,2004,11,4,8
10359,2004-12-15,S12_1108,Classic Cars,42,100.0,4764.48,France,2004,12,4,8
10371,2005-01-23,S12_1108,Classic Cars,32,100.0,3560.64,USA,2005,1,1,8
10382,2005-02-17,S12_1108,Classic Cars,34,100.0,3823.64,USA,2005,2,1,8
10395,2005-03-17,S12_1108,Classic Cars,33,69.12,2280.96,France,2005,3,1,8
10413,2005-05-05,S12_1108,Classic Cars,36,100.0,8677.8,USA,2005,5,2,8
10103,2003-01-29,S12_1666,Trucks and Buses,27,100.0,3394.98,Norway,2003,1,1,9
10113,2003-03-26,S12_1666,Trucks and Buses,21,100.0,3415.44,USA,2003,3,1,9
10126,2003-05-28,S12_1666,Trucks and Buses,21,100.0,2439.57,Spain,2003,5,2,9
10140,2003-07-24,S12_1666,Trucks and Buses,38,100.0,4829.8,USA,2003,7,3,9
10150,2003-09-19,S12_1666,Trucks and Buses,30,100.0,4100.1,Singapore,2003,9,3,9
10164,2003-10-21,S12_1666,Trucks and Buses,49,100.0,6563.06,Austria,2003,10,4,9
10174,2003-11-06,S12_1666,Trucks and Buses,43,100.0,6817.22,Australia,2003,11,4,9
10183,2003-11-13,S12_1666,Trucks and Buses,41,100.0,6163.94,USA,2003,11,4,9
10194,2003-11-25,S12_1666,Trucks and Buses,38,100.0,4933.92,France,2003,11,4,9
10206,2003-12-05,S12_1666,Trucks and Buses,28,100.0,4056.36,Canada,2003,12,4,9
10216,2004-02-02,S12_1666,Trucks and Buses,43,100.0,5759.42,France,2004,2,1,9
10229,2004-03-11,S12_1666,Trucks and Buses,25,100.0,3451.0,USA,2004,3,1,9
10245,2004-05-04,S12_1666,Trucks and Buses,38,100.0,5920.4,USA,2004,5,2,9
10258,2004-06-15,S12_1666,Trucks and Buses,41,100.0,6668.24,Japan,2004,6,2,9
10270,2004-07-19,S12_1666,Trucks and Buses,28,100.0,4094.72,Australia,2004,7,3,9
10281,2004-08-19,S12_1666,Trucks and Buses,25,100.0,2938.5,USA,2004,8,3,9
10291,2004-09-08,S12_1666,Trucks and Buses,41,100.0,6387.8,Sweden,2004,9,3,9
10304,2004-10-11,S12_1666,Trucks and Buses,39,100.0,6396.0,France,2004,10,4,9
10313,2004-10-22,S12_1666,Trucks and Buses,21,100.0,2669.1,Canada,2004,10,4,9
10322,2004-11-04,S12_1666,Trucks and Buses,27,100.0,4784.13,USA,2004,11,4,9
10333,2004-11-18,S12_1666,Trucks and Buses,33,99.21,3273.93,USA,2004,11,4,9
10347,2004-11-29,S12_1666,Trucks and Buses,29,100.0,3586.43,Australia,2004,11,4,9
10357,2004-12-10,S12_1666,Trucks and Buses,49,100.0,5960.36,USA,2004,12,4,9
10370,2005-01-20,S12_1666,Trucks and Buses,49,100.0,8470.14,Australia,2005,1,1,9
10381,2005-02-17,S12_1666,Trucks and Buses,20,100.0,2952.0,USA,2005,2,1,9
10391,2005-03-09,S12_1666,Trucks and Buses,39,63.2,2464.8,Australia,2005,3,1,9
10411,2005-05-01,S12_1666,Trucks and Buses,40,100.0,6232.0,Canada,2005,5,2,9
10424,2005-05-31,S12_1666,Trucks and Buses,49,100.0,7969.36,Spain,2005,5,2,9
10107,2003-02-24,S12_2823,Motorcycles,21,100.0,3036.6,USA,2003,2,1,10
10121,2003-05-07,S12_2823,Motorcycles,50,100.0,8284.0,France,2003,5,2,10
10134,2003-07-01,S12_2823,Motorcycles,20,100.0,2711.2,France,2003,7,3,10
10145,2003-08-25,S12_2823,Motorcycles,49,100.0,8339.8,USA,2003,8,3,10
10159,2003-10-10,S12_2823,Motorcycles,38,100.0,6238.84,USA,2003,10,4,10
10169,2003-11-04,S12_2823,Motorcycles,35,100.0,4639.25,Australia,2003,11,4,10
10180,2003-11-11,S12_2823,Motorcycles,40,100.0,6747.6,France,2003,11,4,10
10189,2003-11-18,S12_2823,Motorcycles,28,100.0,4512.48,USA,2003,11,4,10
10201,2003-12-01,S12_2823,Motorcycles,25,100.0,4029.0,USA,2003,12,4,10
10211,2004-01-15,S12_2823,Motorcycles,36,100.0,4771.8,France,2004,1,1,10
10224,2004-02-21,S12_2823,Motorcycles,43,100.0,6087.94,France,2004,2,1,10
10237,2004-04-05,S12_2823,Motorcycles,32,100.0,4193.28,USA,2004,4,2,10
10251,2004-05-18,S12_2823,Motorcycles,46,100.0,7552.28,USA,2004,5,2,10
10263,2004-06-28,S12_2823,Motorcycles,48,100.0,6434.4,USA,2004,6,2,10
10276,2004-08-02,S12_2823,Motorcycles,43,100.0,5181.5,USA,2004,8,3,10
10285,2004-08-27,S12_2823,Motorcycles,49,100.0,6863.92,USA,2004,8,3,10
10299,2004-09-30,S12_2823,Motorcycles,24,100.0,4157.04,Finland,2004,9,3,10
10309,2004-10-15,S12_2823,Motorcycles,26,100.0,4660.24,Norway,2004,10,4,10
10319,2004-11-03,S12_2823,Motorcycles,30,100.0,4111.8,USA,2004,11,4,10
10329,2004-11-15,S12_2823,Motorcycles,24,100.0,3542.64,USA,2004,11,4,10
10341,2004-11-24,S12_2823,Motorcycles,55,100.0,8118.55,Austria,2004,11,4,10
10362,2005-01-05,S12_2823,Motorcycles,22,100.0,3877.06,USA,2005,1,1,10
10375,2005-02-03,S12_2823,Motorcycles,49,78.92,3867.08,France,2005,2,1,10
10388,2005-03-03,S12_2823,Motorcycles,44,100.0,5951.44,USA,2005,3,1,10
10403,2005-04-08,S12_2823,Motorcycles,66,100.0,8648.64,UK,2005,4,2,10
10417,2005-05-13,S12_2823,Motorcycles,21,100.0,3447.78,Spain,2005,5,2,10
10104,2003-01-31,S12_3148,Classic Cars,34,100.0,5958.5,Spain,2003,1,1,11
10117,2003-04-16,S12_3148,Classic Cars,43,100.0,5911.64,Singapore,2003,4,2,11
10127,2003-06-03,S12_3148,Classic Cars,46,100.0,7366.44,USA,2003,6,2,11
10142,2003-08-08,S12_3148,Classic Cars,33,100.0,4985.64,USA,2003,8,3,11
10153,2003-09-28,S12_3148,Classic Cars,42,100.0,5393.64,Spain,2003,9,3,11
10165,2003-10-22,S12_3148,Classic Cars,34,100.0,4880.02,Singapore,2003,10,4,11
10176,2003-11-06,S12_3148,Classic Cars,47,100.0,8378.69,Italy,2003,11,4,11
10185,2003-11-14,S12_3148,Classic Cars,33,100.0,4038.21,USA,2003,11,4,11
10196,2003-11-26,S12_3148,Classic Cars,24,100.0,3807.12,USA,2003,11,4,11
10208,2004-01-02,S12_3148,Classic Cars,26,100.0,3142.36,France,2004,1,1,11
10220,2004-02-12,S12_3148,Classic Cars,30,100.0,4713.6,Ireland,2004,2,1,11
10230,2004-03-15,S12_3148,Classic Cars,43,100.0,7016.31,Germany,2004,3,1,11
10247,2004-05-05,S12_3148,Classic Cars,25,100.0,4381.25,Finland,2004,5,2,11
10272,2004-07-20,S12_3148,Classic Cars,27,100.0,4283.01,USA,2004,7,3,11
10282,2004-08-20,S12_3148,Classic Cars,27,100.0,4364.82,USA,2004,8,3,11
10293,2004-09-09,S12_3148,Classic Cars,24,100.0,4242.24,Italy,2004,9,3,11
10306,2004-10-14,S12_3148,Classic Cars,34,100.0,4982.7,UK,2004,10,4,11
10314,2004-10-22,S12_3148,Classic Cars,46,100.0,6393.54,Denmark,2004,10,4,11
10324,2004-11-05,S12_3148,Classic Cars,27,54.33,1466.91,USA,2004,11,4,11
10336,2004-11-20,S12_3148,Classic Cars,33,100.0,4059.33,France,2004,11,4,11
10348,2004-11-01,S12_3148,Classic Cars,47,100.0,4801.52,Spain,2004,11,4,11
10358,2004-12-10,S12_3148,Classic Cars,49,55.34,2711.66,Spain,2004,12,4,11
10372,2005-01-26,S12_3148,Classic Cars,40,100.0,5862.0,Japan,2005,1,1,11
10382,2005-02-17,S12_3148,Classic Cars,37,100.0,4071.85,USA,2005,2,1,11
10413,2005-05-05,S12_3148,Classic Cars,47,100.0,8236.75,USA,2005,5,2,11
10108,2003-03-03,S12_3380,Classic Cars,45,100.0,6130.35,Philippines,2003,3,1,12
10122,2003-05-08,S12_3380,Classic Cars,37,99.82,3693.34,France,2003,5,2,12
10135,2003-07-02,S12_3380,Classic Cars,48,100.0,6031.68,USA,2003,7,3,12
10147,2003-09-05,S12_3380,Classic Cars,31,100.0,3494.94,USA,2003,9,3,12
10160,2003-10-11,S12_3380,Classic Cars,46,100.0,5294.14,USA,2003,10,4,12
10170,2003-11-04,S12_3380,Classic Cars,47,100.0,5464.69,Austria,2003,11,4,12
10181,2003-11-12,S12_3380,Classic Cars,28,100.0,2860.76,Norway,2003,11,4,12
